,carat,cut,color,clarity,depth,table,price
1,0.23,Premium,D,IF,61.5,55,634
2,0.23,Premium,D,VVS1,61.8,56,606
3,0.23,Premium,D,VVS1,61.4,55,646
4,0.23,Premium,D,VVS1,61.5,56,773
5,0.23,Premium,D,VVS2,61.9,55,606
6,0.23,Premium,D,VVS2,61.3,56,646
7,0.23,Premium,D,VVS2,61.4,56,646
8,0.23,Premium,D,VS1,61.8,55,574
9,0.23,Premium,D,VS2,61.6,55,532
10,0.23,Premium,D,VS2,61.9,55,569
11,0.23,Premium,E,VVS1,61.9,55,646
12,0.23,Premium,E,VS1,61.9,55,587
13,0.23,Premium,E,VS2,61.8,56,535
14,0.23,Premium,E,VS2,61.1,56,587
15,0.23,Premium,E,VS2,61.6,55,587
16,0.23,Premium,E,VS2,61.4,56,587
17,0.23,Premium,F,VVS1,61.7,55,646
18,0.23,Premium,F,VVS1,61.8,55,670
19,0.23,Premium,F,VVS2,61.7,55,646
20,0.23,Premium,F,VVS2,61.7,55,646
21,0.23,Premium,F,VVS2,61.1,57,646
22,0.23,Premium,F,VVS2,61.5,55,646
23,0.23,Premium,F,VVS2,61.8,55,646
24,0.23,Premium,F,VVS2,61.6,55,646
25,0.23,Premium,F,VVS2,61.5,56,654
26,0.23,Premium,F,VS1,61.8,55,574
27,0.23,Premium,F,VS1,61.5,56,584
28,0.23,Premium,F,VS1,61.7,55,587
29,0.23,Premium,F,VS1,61.8,55,587
30,0.23,Premium,F,VS1,61.7,55,587
31,0.23,Premium,F,VS2,61.4,57,550
32,0.23,Premium,F,VS2,62,55,587
33,0.23,Premium,G,IF,61.6,55,622
34,0.23,Premium,G,VVS2,61.6,56,622
35,0.23,Premium,G,VS2,61.1,56,474
36,0.23,Premium,H,VS2,61.9,56,517
37,0.23,Premium,I,VS1,61.4,55,534
38,0.24,Premium,D,VVS1,61.3,56,661
39,0.24,Premium,D,VVS1,61.4,56,792
40,0.24,Premium,D,VVS2,61.9,56,632
41,0.24,Premium,D,VS1,61.5,55,601
42,0.24,Premium,D,VS2,61.8,55,621
43,0.24,Premium,E,IF,61.9,55,675
44,0.24,Premium,E,VVS1,61.8,55,597
45,0.24,Premium,E,VVS1,61.6,55,675
46,0.24,Premium,E,VVS1,61.3,56,675
47,0.24,Premium,E,VVS1,61.9,56,675
48,0.24,Premium,E,VVS1,61.7,55,675
49,0.24,Premium,E,VS1,61.5,55,587
50,0.24,Premium,E,VS1,61.5,55,613
51,0.24,Premium,E,VS2,61.3,56,613
52,0.24,Premium,E,SI1,61.8,56,508
53,0.24,Premium,F,VVS1,61.3,56,699
54,0.24,Premium,F,VVS1,62,55,774
55,0.24,Premium,F,VVS2,61.2,56,675
56,0.24,Premium,F,VVS2,61.9,55,675
57,0.24,Premium,F,VVS2,61.2,56,675
58,0.24,Premium,F,VVS2,61.5,57,733
59,0.24,Premium,F,VS1,61.7,56,587
60,0.24,Premium,F,VS2,60.9,57,613
61,0.24,Premium,F,SI1,61.3,55,508
62,0.24,Premium,G,VVS1,61.9,54,621
63,0.24,Premium,G,VS1,61.8,55,569
64,0.24,Premium,G,VS2,61.8,55,564
65,0.24,Premium,G,VS2,62.1,56,574
66,0.24,Premium,H,VVS2,61.4,56,596
67,0.24,Premium,H,VS1,61.1,57,497
68,0.24,Premium,H,SI1,62.2,57,524
69,0.24,Premium,I,VS2,61.4,57,459
70,0.24,Premium,I,VS2,62.2,57,467
71,0.25,Premium,D,VS2,61.2,55,611
72,0.25,Premium,D,VS2,61.8,55,638
73,0.25,Premium,E,VS1,61.7,55,638
74,0.25,Premium,E,VS2,61.8,56,630
75,0.25,Premium,E,VS2,61.6,55,638
76,0.25,Premium,F,IF,61.2,56,703
77,0.25,Premium,F,VS1,61.2,58,624
78,0.25,Premium,F,VS1,62,56,638
79,0.25,Premium,F,VS2,61.7,56,576
80,0.25,Premium,F,SI1,61.5,55,529
81,0.25,Premium,G,VVS1,61.7,55,675
82,0.25,Premium,G,VVS2,61.3,55,675
83,0.25,Premium,G,VS2,62,56,582
84,0.25,Premium,G,SI2,60.5,57,481
85,0.25,Premium,H,IF,61,56,618
86,0.25,Premium,H,IF,61.8,55,662
87,0.25,Premium,H,VVS1,61.7,55,675
88,0.25,Premium,H,VS2,61.7,55,558
89,0.25,Premium,H,VS2,61.9,56,705
90,0.25,Premium,I,VS1,61.2,55,573
91,0.25,Premium,I,VS1,61.8,55,573
92,0.26,Premium,D,VS2,61.9,56,669
93,0.26,Premium,E,VS1,61.9,56,603
94,0.26,Premium,E,VS1,61.8,55,636
95,0.26,Premium,E,VS1,61.8,55,664
96,0.26,Premium,F,VS1,61,58,659
97,0.26,Premium,F,VS2,61.5,56,664
98,0.26,Premium,G,VVS1,61.3,56,691
99,0.26,Premium,G,VS2,61.5,56,622
100,0.26,Premium,G,SI1,61.6,55,501
101,0.26,Premium,H,VVS1,61.5,55,703
102,0.26,Premium,I,VVS2,61.7,55,539
103,0.26,Premium,I,VS1,61.6,55,604
104,0.26,Premium,I,VS2,60.8,58,498
105,0.26,Premium,I,VS2,61.6,55,596
106,0.27,Premium,D,SI1,61.8,56,552
107,0.27,Premium,D,SI1,61.9,55,571
108,0.27,Premium,F,VVS1,62.4,55,828
109,0.27,Premium,F,VVS2,61.6,55,825
110,0.27,Premium,F,VS1,61.8,55,689
111,0.27,Premium,G,VS2,61.8,55,646
112,0.27,Premium,H,VVS1,61.9,56,745
113,0.27,Premium,H,VVS2,61.6,56,645
114,0.27,Premium,I,VS2,61.7,56,528
115,0.28,Premium,E,SI1,61.6,56,592
116,0.28,Premium,F,VVS2,61.3,56,787
117,0.28,Premium,F,VVS2,61.2,56,855
118,0.28,Premium,G,VS1,61.8,55,657
